61,-80,5
91,-34,-17
119,-13,-19
127,54,-3
127,84,6
127,83,13
72,73,15
51,59,17
18,41,20
-7,50,22
-40,76,17
-48,82,-6
-27,76,-19
90,71,-3
127,58,15
127,43,25
127,34,25
117,-9,23
96,-17,20
38,-22,14
23,-27,20
17,-43,14
12,-84,-25
15,-85,-25
61,-56,-18
118,-46,-18
127,5,-20
127,64,13
127,63,7
59,65,7
37,64,10
-6,72,24
-47,70,55
-58,73,27
-38,74,-2
-7,74,17
97,78,32
127,71,41
127,41,54
118,17,38
93,8,30
51,-8,20
40,-19,16
47,-56,16
62,-78,21
78,-91,-4
108,-53,-15
127,-23,-9
127,64,1
127,99,15
127,119,18
92,109,21
26,80,25
-31,68,21
-48,69,23
-67,78,17
-63,78,5
-37,73,12
-3,75,33
111,87,71
127,98,55
127,74,40
86,23,27
75,8,25
79,-22,42
79,-45,50
68,-114,19
75,-91,7
79,-61,1
124,-16,-16
127,20,-28
127,125,-24
120,108,-17
86,100,-7
33,72,6
12,64,3
-30,73,7
-45,81,15
-55,87,0
-40,78,-2
-13,79,5
127,108,30
127,113,51
127,53,31
127,27,36
84,9,40
35,-15,15
26,-38,5
27,-106,-25
31,-124,-31
63,-66,-15
90,-49,-18
127,9,-7
127,117,14
127,117,9
74,100,15
57,83,15
33,66,19
10,59,13
-31,72,8
-60,66,-11
-48,75,-13
11,67,10
71,61,36
127,40,68
127,20,77
127,-3,64
73,-15,50
44,-13,38
8,-21,15
-1,-29,9
-6,-54,-17
6,-63,-25
59,-71,-13
116,-65,27
127,-53,68
121,5,92
95,10,81
46,49,66
9,63,57
5,65,52
-12,68,44
-19,70,39
-43,65,29
-16,60,38
40,43,69
51,19,101
84,-2,114
80,-6,114
71,-10,101
42,-34,52
37,-45,25
23,-59,-25
-1,-55,-40
-7,-61,-51
15,-64,-6
58,-50,48
100,-29,100
109,-12,91
76,-15,94
56,18,89
35,23,62
14,31,30
6,39,20
-6,50,-5
-15,48,-12
-14,61,-33
37,73,-2
125,87,4
127,94,35
127,75,42
121,39,21
96,21,14
48,5,8
34,-13,10
41,-30,7
52,-94,-17
60,-109,-23
77,-65,-27
127,-24,-16
127,26,-14
127,101,0
127,93,1
82,86,8
53,78,10
-5,66,4
-48,71,-2
-58,68,2
-48,75,-16
-33,70,-18
21,67,-14
127,81,-12
127,97,45
127,45,22
104,17,12
67,-5,15
48,-10,16
23,-31,19
21,-51,6
19,-94,-59
32,-72,-46
47,-58,-42
127,-26,-23
127,29,-12
127,61,17
127,69,18
68,81,0
2,71,-5
-28,77,-13
-61,89,-18
-63,88,-21
-39,88,-32
49,88,-17
125,95,1
127,72,31
127,54,41
127,16,18
99,2,16
50,-11,12
17,-41,2
6,-67,-10
9,-105,-28
13,-82,-7
33,-52,-21
81,-33,-24
127,59,22
127,109,35
127,104,22
54,86,11
23,71,10
-33,59,-9
-45,62,-15
-73,67,-37
-55,72,-41
-38,70,-28
56,73,-16
127,95,-26
127,85,10
127,62,12
114,19,26
45,-7,3
27,-20,-4
15,-69,1
12,-90,5
14,-80,10
30,-67,0
127,-41,-33
127,127,-27
127,127,-25
126,122,-19
74,108,-12
-3,62,-1
-63,47,-8
-79,46,-3
-81,48,-14
-62,60,-19
-24,76,-4
14,92,0
127,127,27
127,76,53
127,34,52
58,-2,28
33,-19,14
12,-51,9
13,-64,11
3,-81,-9
5,-67,-25
8,-56,-23
74,-18,2
127,81,10
127,127,14
127,127,11
46,77,19
-8,38,12
-34,30,9
-73,29,-9
-79,37,-14
-52,79,-20
-38,90,-21
52,116,-10
127,122,10
127,104,18
121,34,35
84,14,18
48,-10,8
38,-25,22
24,-79,16
6,-105,1
8,-89,2
26,-59,-18
87,-45,-25
127,127,-36
127,127,-2
127,123,-17
31,86,-12
2,72,-6
-53,64,3
-73,58,4
-96,57,-17
-46,80,-10
-27,89,2
97,115,1
127,127,3
127,81,24
127,38,20
75,-7,12
41,-42,8
34,-59,6
21,-99,-14
18,-119,-13
51,-97,-28
50,-74,-44
127,-23,-25
127,113,1
127,120,-7
106,85,3
73,72,4
23,54,5
1,55,3
-34,86,8
-63,82,-8
-59,80,-16
-15,67,3
42,72,7
127,100,59
127,84,66
127,34,50
66,-3,32
43,-7,24
19,-26,20
16,-47,20
11,-108,-26
7,-120,-43
70,-89,-39
127,-40,-22
127,33,-7
127,102,9
127,103,7
69,93,9
18,76,6
-4,73,6
-53,83,15
-68,78,12
-59,74,-7
-36,69,-3
76,81,20
127,104,58
127,77,56
110,28,45
85,12,41
54,-4,32
44,-18,31
36,-93,24
48,-128,-18
68,-121,-18
109,-68,-46
127,-33,-34
127,127,-22
127,112,-21
121,114,-8
60,78,0
39,63,5
9,68,20
-22,85,20
-65,82,5
-68,77,-1
-31,75,-6
92,92,26
127,104,54
127,78,67
127,62,59
88,24,42
37,-6,17
21,-23,12
21,-83,4
17,-120,-15
56,-112,-19
91,-80,-13
127,-7,13
127,127,28
127,127,4
114,119,9
83,103,12
20,60,13
-9,51,7
-51,58,19
-71,56,37
-63,62,29
-29,73,18
14,91,28
127,127,42
127,123,49
117,78,39
80,36,43
62,25,52
40,-3,66
32,-36,55
33,-112,11
52,-128,-11
113,-96,-23
127,-34,-18
127,-2,-12
127,127,6
127,126,11
116,124,12
76,112,16
9,87,7
-39,88,13
-62,88,8
-76,96,-3
-63,95,-10
-41,74,-10
